Sample	KnockDownTarget	KnockDownEfficiency	PostDoc
Sample1	Control	0	Bob
Sample2	Control	0	Bob
Sample3	Control	0	Alice
Sample4	Control	0	Bob
Sample5	Control	0	Bob
Sample6	Control	0	Alice
Sample7	Control	0	Alice
Sample8	Control	0	Bob
Sample9	Control	0	Bob
Sample10	Control	0	Bob
Sample11	Control	0	Alice
Sample12	Control	0	Alice
Sample13	Control	0	Bob
Sample14	Control	0	Bob
Sample15	Control	0	Bob
Sample16	Control	0	Alice
Sample17	Control	0	Alice
Sample18	Control	0	Alice
Sample19	Control	0	Bob
Sample20	Control	0	Bob
Sample21	Control	0	Bob
Sample22	Control	0	Bob
Sample23	Control	0	Alice
Sample24	Control	0	Bob
Sample25	Control	0	Bob
Sample26	GeneA	0.92424260918051	Alice
Sample27	GeneA	0.5371764132287353	Alice
Sample28	GeneA	0.4691956464666873	Bob
Sample29	GeneA	0.2886261763051152	Alice
Sample30	GeneA	0.7700881620403379	Bob
Sample31	GeneA	0.7727687128353864	Alice
Sample32	GeneA	0.03932233643718064	Bob
Sample33	GeneA	0.4349055995699018	Bob
Sample34	GeneA	0.47216638596728444	Bob
Sample35	GeneA	0.2738331228028983	Alice
Sample36	GeneA	0.6743314813356847	Alice
Sample37	GeneA	0.002020765794441104	Alice
Sample38	GeneA	0.025093514006584883	Alice
Sample39	GeneA	0.43207778595387936	Alice
Sample40	GeneA	0.4993919115513563	Alice
Sample41	GeneA	0.3886819323524833	Bob
Sample42	GeneA	0.39537531579844654	Bob
Sample43	GeneA	0.7157073253765702	Bob
Sample44	GeneA	0.9409998790360987	Bob
Sample45	GeneA	0.8272291608154774	Bob
Sample46	GeneA	0.6341135208494961	Alice
Sample47	GeneA	0.37986744102090597	Bob
Sample48	GeneA	0.9420740334317088	Alice
Sample49	GeneA	0.7549936883151531	Bob
Sample50	GeneA	0.22761184466071427	Alice
Sample51	GeneB	0.9146660268306732	Bob
Sample52	GeneB	0.6204450414516032	Bob
Sample53	GeneB	0.3191045755520463	Alice
Sample54	GeneB	0.07628881488926709	Alice
Sample55	GeneB	0.26083931792527437	Bob
Sample56	GeneB	0.8838444212451577	Alice
Sample57	GeneB	0.017528790049254894	Alice
Sample58	GeneB	0.31487880600616336	Bob
Sample59	GeneB	0.21176302642561495	Alice
Sample60	GeneB	0.9062251336872578	Alice
Sample61	GeneB	0.6500037794467062	Alice
Sample62	GeneB	0.1292736018076539	Alice
Sample63	GeneB	0.11040495708584785	Bob
Sample64	GeneB	0.17713169124908745	Alice
Sample65	GeneB	0.5331121564377099	Bob
Sample66	GeneB	0.5559502409305423	Bob
Sample67	GeneB	0.5977667407132685	Alice
Sample68	GeneB	0.1970425215549767	Alice
Sample69	GeneB	0.07916989759542048	Alice
Sample70	GeneB	0.9715056293644011	Alice
Sample71	GeneB	0.509695036103949	Bob
Sample72	GeneB	0.04965725773945451	Alice
Sample73	GeneB	0.6753664144780487	Bob
Sample74	GeneB	0.7762605419848114	Alice
Sample75	GeneB	0.7533719642087817	Alice
