gene	meanExpression	A.logFC	A.pvalue	A.FDR	B.logFC	B.pvalue	B.FDR
Gene1	-2.5530584307632136	0.6113569199018607	0.06241940086949733	0.36059734759963796	-0.06796081959353464	0.8250009690916142	0.9458010610502989
Gene2	10.861521569940155	0.19509908204556783	0.7051621351408376	0.9458925690771204	2.0288001317157787	7.077610908975335e-5	0.0013204497964506223
Gene3	0.4656058457021618	-0.4424548247309686	0.3237347292905458	0.7569916844849357	-0.49773124985523276	0.2411661163933094	0.5921739833624392
Gene4	5.329451748513752	-1.3452979786638297	0.0026867080110463673	0.03827219388954939	0.12547548382774323	0.7613912215069966	0.9202214424788452
Gene5	-1.4903347579928843	-0.04718990410645649	0.9101775549341726	0.99002930600493	-0.3389297284202208	0.392703982733137	0.729255306839623
Gene6	-2.789845842053097	-0.009286817690968714	0.9719786724489977	0.9964923851230242	0.45123665058154694	0.07383572392870756	0.29522480579251326
Gene7	6.694346990359552	0.5346306427591865	0.22612672182548496	0.662547050353772	-1.5574345782296697	3.1302855691541626e-4	0.004312114941121107
Gene8	0.20701198847482252	0.18559641759466997	0.6655676382664569	0.9312182605470362	-0.6574210927380122	0.10798707670503063	0.37495512744802306
Gene9	6.884270703419019	-0.7167206780377663	0.11809956874079151	0.5043015720217449	-0.37344430904798537	0.38706468012918505	0.7254772694044737
Gene10	6.863580343700985	-0.6521632983738342	0.10085002693767942	0.4690715775404452	-0.3233470895254799	0.38718721868116757	0.7254772694044737
Gene11	1.5114919119695018	-0.5066469861033642	0.22822938104034277	0.6650040240103228	-0.07653734312219916	0.8468078851385799	0.9546875818924236
Gene12	5.023161551091014	0.4104103959280737	0.28035412175515173	0.7228655996034797	-0.48217680754853304	0.18081834428550167	0.5072043317966386
Gene13	-1.8900924795217091	0.4009603017167921	0.2846029614236658	0.7264435591645949	0.33453975330575075	0.3449650953371469	0.6922615640065222
Gene14	6.602574614209276	-0.621380243855275	0.10222277346475138	0.4716781085107264	-0.1943988773718608	0.586357134705181	0.8525986947320604
Gene15	-2.7986025130622365	0.3932850011579277	0.13071080864839102	0.5270597122918993	0.13190957845606338	0.5899569872515593	0.8545935915196718
Gene16	5.04249721589671	0.014288685612967679	0.9715275817299643	0.9963686397048781	-0.28941378664450507	0.44551578557850524	0.7671851079561338
Gene17	0.5622092346262053	0.6364110679876772	0.12838822503063108	0.5237698457734468	-0.08383122788611415	0.8312512833163668	0.9489169900871767
Gene18	4.547852894733215	-0.47074730213109267	0.2799152851627666	0.7227350507688267	0.24025645997003386	0.5590128590779937	0.8333214405481632
Gene19	3.8069134521129198	0.8814290066661149	0.039860263811737254	0.2720837120255103	0.12410879312925134	0.7569042346103845	0.9183999936383767
Gene20	-2.9065419221762494	0.0477998695801248	0.8338961849790456	0.9803462429016734	-0.04261892455169408	0.8433211429413483	0.9541990755163479
Gene21	-2.465412791173078	-0.4371648005932987	0.17888019262877247	0.6084360293495662	-0.31970247603576885	0.29774671087751103	0.6533831706770047
Gene22	-2.5930946059826003	-0.35053536906366006	0.2636565104477088	0.706853915409407	-0.17030138738646877	0.5649149802923443	0.8377077560495789
Gene23	3.1115472937642807	0.5565088395400009	0.18408764140005338	0.6128459488670035	-0.04163352964577699	0.91592313082305	0.9766721377938259
Gene24	7.314079835152781	-1.9843853819305597	1.3701793855489778e-6	7.000685326915085e-5	0.08281208317567236	0.8195823001694927	0.9447634584086372
Gene25	8.82178181506998	0.3131597791233037	0.4263980633909713	0.827376081724325	0.6933886623387249	0.06478811158660079	0.2722072482477648
Gene26	0.4551242779598735	-0.6204834521302199	0.15520403155304005	0.5710879870740205	0.17545377886189653	0.6693021422476554	0.8869628177148892
Gene27	7.077229512561557	-0.27294623927089084	0.5178587977583587	0.8789595087801908	0.46339989125922165	0.24709888081377554	0.6006292678993086
Gene28	8.5965896902692691	0.3473026061487839	0.44325645256998114	0.8359394317186777	0.03776501446160589	0.9296595349779397	0.9805798653714182
Gene29	5.779792468897	-0.26370892189261874	0.5384093451951587	0.8871467213629242	-0.6778394832039129	0.09687772692914852	0.3511408781615498
Gene30	5.36904066842094	0.008560182246287018	0.9812345946538857	0.9983368072926204	0.23193058942803307	0.5010956127995971	0.7963302698165906
Gene31	4.933029335549047	-0.6309959132218581	0.15739724805254857	0.5755730870186834	0.0015226837922086782	0.9971058171202972	0.9995530100060193
Gene32	3.033103991401421	-0.18381009936334605	0.70224546852024	0.9448943333157157	0.1303834772347775	0.774344747952862	0.9259538026022247
Gene33	6.303983272930357	-0.42840233648552145	0.2767926637413562	0.7192753598911925	0.12161703447767457	0.7433930045843526	0.9135959255061481
Gene34	-1.5586431016088855	0.23450828632052675	0.5419390964818006	0.8888513017230848	0.09106948084931857	0.8021407486964016	0.9375499254251313
Gene35	-2.4250882634799793	0.1952470859401737	0.5432630808001422	0.8894287504913919	-0.08670817878021614	0.7751876659017154	0.9262417576118067
Gene36	7.155750762817534	0.5878757069438626	0.13345517508461374	0.531388440089411	0.7437460617664208	0.04585002141910283	0.21525831652160954
Gene37	4.445839140040839	0.41547286608039447	0.34195458934577705	0.7693016633200833	1.2595696921025747	0.0029201380205770636	0.026426588421511885
Gene38	2.536714781614394	-0.23155235884472336	0.5888814853638205	0.9070267786798241	-0.8443602240333036	0.039432842398620147	0.194154812400887
Gene39	1.599464629513525	-1.622304999262977	5.472610070408584e-4	0.010443912348107985	-1.507448670068456	6.764815701558144e-4	0.0080125296718195
