test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000001	XLOC_000001	uc001acl.1	chr1:995116-1001833	WildType	KnockDown	NOTEST	405.873	1867.04	2.20165	0	1	1	no
XLOC_000002	XLOC_000002	uc001acv.3	chr1:1072396-1079434	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000003	XLOC_000003	uc001acw.2	chr1:1102483-1102578	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000004	XLOC_000004	uc010nye.1	chr1:1103242-1103332	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000005	XLOC_000005	uc010nyf.1	chr1:1104384-1104467	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000006	XLOC_000006	uc001acy.2,uc001acz.2,uc010nyg.1	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000007	XLOC_000007	uc001adk.3	chr1:1167628-1170420	WildType	KnockDown	OK	13199.1	16848.8	0.352203	2.7407	5e-05	9.44444e-05	yes
XLOC_000008	XLOC_000008	uc001adt.1,uc001adu.1,uc001adv.2,uc001adw.2,uc001adx.2	chr1:1215815-1227409	WildType	KnockDown	NOTEST	496.614	474.119	-0.0668774	0	1	1	no
XLOC_000009	XLOC_000009	uc001aed.3,uc009vjx.3,uc010nyi.2	chr1:1227763-1260067	WildType	KnockDown	OK	12128	11506.1	-0.0759364	-0.30567	0.65115	0.73797	no
XLOC_000010	XLOC_000010	uc001aeo.3	chr1:1260142-1264305	WildType	KnockDown	OK	7838.09	4713.74	-0.73363	-2.86075	5e-05	9.44444e-05	yes
XLOC_000011	XLOC_000011	uc010nyk.2	chr1:1266725-1269844	WildType	KnockDown	NOTEST	52.3431	0	-inf	0	1	1	no
XLOC_000012	XLOC_000012	uc001afm.3,uc009vkd.3	chr1:1334909-1342693	WildType	KnockDown	OK	4289.03	4287.91	-0.000378678	-0.00106493	0.986	0.986	no
XLOC_000013	XLOC_000013	uc010nyp.2	chr1:1361507-1363167	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000014	XLOC_000014	uc001afr.3,uc001afs.3	chr1:1370902-1378262	WildType	KnockDown	NOTEST	952.974	816.329	-0.223285	0	1	1	no
XLOC_000015	XLOC_000015	uc001aft.2	chr1:1385068-1405538	WildType	KnockDown	NOTEST	17.3676	14.7361	-0.237039	0	1	1	no
XLOC_000016	XLOC_000016	uc001afv.3,uc001afw.2,uc001afx.3,uc021oeq.1	chr1:1407163-1444689	WildType	KnockDown	OK	10126.6	5608.13	-0.852556	-2.6842	5e-05	9.44444e-05	yes
XLOC_000017	XLOC_000017	uc001afz.2,uc001aga.2,uc001agb.2,uc001agc.1	chr1:1446972-1470067	WildType	KnockDown	OK	17047	9366.38	-0.863956	-5.09603	5e-05	9.44444e-05	yes
XLOC_000018	XLOC_000018	uc021oen.1,uc021oeo.1	chr1:1007125-1009687	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000019	XLOC_000019	uc001acn.2,uc001acr.2,uc001acs.2,uc001act.2,uc001acu.2,uc010nyd.1	chr1:1017197-1051736	WildType	KnockDown	OK	3037.53	3073.72	0.0170883	0.0410649	0.9343	0.986	no
XLOC_000020	XLOC_000020	uc031pkr.1	chr1:1103242-1103332	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000021	XLOC_000021	uc031pks.1	chr1:1104384-1104467	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
XLOC_000022	XLOC_000022	uc001acx.1	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
