id	Peptide IDs	Oxidation (M) Site IDs	Oxidation (M) Site Positions	Protein IDs	Peptide Counts (all)	Peptide Counts (razor)	Peptide Counts (unique)	Only identified by site	Protein Names	Gene Names	Protein Descriptions	Uniprot	Uniprot Name	ENSEMBL	VEGA	REFSEQ	IntAct	Corum	Pfam	Pfam Names	Pfam Descriptions	PDB	MIM	GOCC	GOCC Names	GOMF	GOMF Names	GOBP	GOBP Names	DIP	Reactome	KEGG	KEGG Pathways	KEGG Pathway Names	KEGG Ortholog	Chromosome	Strand	Position	InterPro	InterPro Name	PRINTS	PRINTS Name	Prosite	Prosite Name	SMART	SMART Name	Sequence Motifs	Proteins	Peptides (seq)	Peptides (seq/mod)	Peptides (seq/mod/labels)	Razor Peptides (seq)	Razor Peptides (seq/mod)	Razor Peptides (seq/mod/labels)	Unique Peptides (seq)	Unique Peptides (seq/mod)	Unique Peptides (seq/mod/labels)	Peptides (seq) CDCH	Peptides (seq) CDCL	Razor Peptides (seq) CDCH	Razor Peptides (seq) CDCL	Unique Peptides (seq) CDCH	Unique Peptides (seq) CDCL	Sequence Coverage [%]	Unique + Razor Sequence Coverage [%]	Unique Sequence Coverage [%]	Mol. Weight [kDa]	Sequence Length	Experiment CDCH	Experiment CDCL	PEP	Ratio H/L	Ratio H/L Normalized	Ratio H/L Significance(A)	Ratio H/L Significance(B)	Ratio H/L Variability [%]	Ratio H/L Count	Ratio H/L Sequence Correlation	Ratio H/L CDCH	Ratio H/L Normalized CDCH	Ratio H/L Significance(A) CDCH	Ratio H/L Significance(B) CDCH	Ratio H/L Variability [%] CDCH	Ratio H/L Count CDCH	Ratio H/L Sequence Correlation CDCH	Ratio H/L CDCL	Ratio H/L Normalized CDCL	Ratio H/L Significance(A) CDCL	Ratio H/L Significance(B) CDCL	Ratio H/L Variability [%] CDCL	Ratio H/L Count CDCL	Ratio H/L Sequence Correlation CDCL	Intensity	Intensity L	Intensity H	Intensity CDCH	Intensity L CDCH	Intensity H CDCH	Intensity CDCL	Intensity L CDCL	Intensity H CDCL	Reverse	Contaminant
0	2796;3240	0	150	CON_00009865;IPI00009865;IPI00884222;CON_00217963;CON_IPI00217963;IPI00217963;CON_00384444;IPI00384444;CON_00225378;IPI00789750	2;2;2;1;1;1;1;1;1;1	4;4;4;2;2;2;2;2;2;2	4;4;4;2;2;2;2;2;2;2	FALSE	"Keratin, type I cytoskeletal 10;Cytokeratin-10;Keratin-10;Keratin, type I cytoskeletal 16;Cytokeratin-16;Keratin-16;Keratin, type I cytoskeletal 14;Cytokeratin-14;Keratin-14"	KRT10;KPP;KRT16;KRT16A;KRT14	">IPI:CON_00009865.2|SWISS-PROT:P13645|TREMBL:A6NK80|ENSEMBL:ENSP00000269576|REFSEQ:NP_000412|H-INV:HIT000051206|VEGA:OTTHUMP00000165049;OTTHUMP00000181319 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10;Keratin, type I cytoskeletal 10;Similar"	P13645;A6NK80;P08779;A8K488;Q16195;P02533;A2A4G1	K1C10_HUMAN;K1C16_HUMAN;K1C14_HUMAN	ENSG00000186395;ENSG00000186832;ENSG00000186847	OTTHUMP00000165049;OTTHUMP00000181319;OTTHUMP00000165049;OTTHUMP00000181319;OTTHUMP00000164740;OTTHUMP00000183331;OTTHUMP00000164740;OTTHUMP00000183331;OTTHUMP00000164740;OTTHUMP00000183331;OTTHUMP00000164624;OTTHUMP00000183330;OTTHUMP00000164624;OTTHUMP00000183330;OTTMUSP00000002399;OTTHUMP00000183329	NP_000412;NP_000412;NP_005548;NP_005548;NP_005548;NP_000517;NP_000517	P13645;P16599;P02768;P01876;P01857;P08473;Q00987;Q6R327;Q07157;Q00653-2;P84022;P08779;P02647;Q92844;P02533;Q15628;P00533		PF00038	Filament	Intermediate filament protein		"Epidermolytic hyperkeratosis, 113800 (3);Pachyonychia congenita, Jadassohn-Lewandowsky type, 167200 (3);Dermatopathia pigmentosa reticularis, 125595 (3)"	GO:0005882;GO:0044422;GO:0044424;GO:0044430;GO:0044446;GO:0044464;GO:0005634;GO:0005737;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0045095	intermediate filament;organelle part;intracellular part;cytoskeletal part;intracellular organelle part;cell part;nucleus;cytoplasm;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;keratin filament	GO:0005198;GO:0005488;GO:0005515;GO:0030280;GO:0005200	structural molecule activity;binding;protein binding;structural constituent of epidermis;structural constituent of cytoskeleton	GO:0008544;GO:0009888;GO:0032502;GO:0048856;GO:0008283;GO:0009987;GO:0006996;GO:0007010;GO:0010926;GO:0016043;GO:0022607;GO:0045103;GO:0045104;GO:0045109;GO:0045110	epidermis development;tissue development;developmental process;anatomical structure development;cell proliferation;cellular process;organelle organization;cytoskeleton organization;anatomical structure formation;cellular component organization;cellular component assembly;intermediate filament-based process;intermediate filament cytoskeleton organization;intermediate filament organization;intermediate filament bundle assembly			hsa:3858;hsa:3868;hsa:3861			K07604	17	-	36227896	IPR016044;IPR001664;IPR018039;IPR002957	F;IF;Intermediate_filament_CS;Keratin_I	PR01248	TYPE1KERATIN	PS00226	IF				10	2	3	3	2	3	3	2	3	3	0	2	0	2	0	2	4.9	4.9	4.9	59.51	593		4	3.43E-08	6.6722	6.4021	6.57E-05	6.57E-05	327.88	2	1						0	1	6.6722	6.4021	0.01077	0.01077	327.88	2	1	1859200	1777300	81916	0	0	0	1859200	1777300	81916		+
1	482;2808;2954;3200			CON_00019359;IPI00019359	4;4	8;8	8;8	FALSE	"Keratin, type I cytoskeletal 9;Cytokeratin-9;Keratin-9"	KRT9	">IPI:CON_00019359.3|SWISS-PROT:P35527|ENSEMBL:ENSP00000246662|REFSEQ:NP_000217|H-INV:HIT000326846|VEGA:OTTHUMP00000164967;OTTHUMP00000181348 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9;Keratin, type I cytoskeletal 9"	P35527	K1C9_HUMAN	ENSG00000171403	OTTHUMP00000164967;OTTHUMP00000181348;OTTHUMP00000164967;OTTHUMP00000181348	NP_000217;NP_000217	P35527;P02768;P01876;P01871;P01857;P02647;Q00987;Q99963;P12830;P25054;Q92844		PF00038	Filament	Intermediate filament protein		"Epidermolytic palmoplantar keratoderma, 144200 (3)"	GO:0005737;GO:0005882;GO:0044422;GO:0044424;GO:0044430;GO:0044446;GO:0044464	cytoplasm;intermediate filament;organelle part;intracellular part;cytoskeletal part;intracellular organelle part;cell part	GO:0005198;GO:0005200;GO:0005488;GO:0005515	structural molecule activity;structural constituent of cytoskeleton;binding;protein binding	GO:0006996;GO:0007010;GO:0008544;GO:0009888;GO:0009987;GO:0016043;GO:0032502;GO:0043588;GO:0045103;GO:0045104;GO:0045109;GO:0048856	organelle organization;cytoskeleton organization;epidermis development;tissue development;cellular process;cellular component organization;developmental process;skin development;intermediate filament-based process;intermediate filament cytoskeleton organization;intermediate filament organization;anatomical structure development			hsa:3857			K07604	17	-	36975622	IPR016044;IPR001664;IPR018039;IPR002957	F;IF;Intermediate_filament_CS;Keratin_I	PR01248	TYPE1KERATIN	PS00226	IF				2	4	4	4	4	4	4	4	4	4	0	4	0	4	0	4	9.1	9.1	9.1	62.129	623		5	8.14E-54	12.118	11.313	2.45E-07	2.45E-07	124.77	3	1						0	1	12.118	11.313	0.0010978	0.0010978	124.77	3	1	2656200	2636200	20004	0	0	0	2656200	2636200	20004		+
2	245;863;1034;3070;3215;3322			CON_00021304;IPI00021304;CON_IPI00376379;IPI00376379;CON_00462140;CON_00622240;CON_IPI00290078;IPI00290078;CON_00347110;CON_00468956;IPI00880104;CON_IPI00174775;IPI00174775;CON_IPI00329306;IPI00329306;IPI00902911;CON_IPI00061200;IPI00061200;CON_00347096;CON_IPI00347096;CON_IPI00103481;IPI00103481;IPI00794272;IPI00793641;IPI00878987;IPI00796137	6;6;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	6;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	FALSE	"Keratin, type II cytoskeletal 2 epidermal;Cytokeratin-2e;Keratin, type II cytoskeletal 1b;Cytokeratin-1B;Keratin-77;Type II keratin Kb39;Embryonic type II keratin-1"	KRT2;KRT2A;KRT2E;KRT77;KRT1B;Krt77;Krt1b	">IPI:CON_00021304.1|SWISS-PROT:P35908|ENSEMBL:ENSP00000310861|REFSEQ:NP_000414|H-INV:HIT000197028|VEGA:OTTHUMP00000167603 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal;Keratin, type II cytoskeletal 2 epidermal;>IPI:CON_IPI00376379."	P35908;Q7Z794;Q0IIN1;Q147W7;Q6IFZ6;Q08EK4;Q08EK5;Q4L0E7;Q678L1	K22E_HUMAN;K2C1B_HUMAN;K2C1B_MOUSE	ENSG00000172867;ENSG00000189182;ENSMUSG00000067594	OTTHUMP00000167603;OTTHUMP00000167603	NP_000414;NP_000414;NP_778253;NP_778253;NP_001003667	P35908;Q00987		PF00038	Filament	Intermediate filament protein		"Ichthyosis bullosa of Siemens, 146800 (3)"	GO:0005813;GO:0005815;GO:0005882;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044422;GO:0044424;GO:0044430;GO:0044444;GO:0044446;GO:0044464;GO:0045095	centrosome;microtubule organizing center;intermediate filament;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;cytoskeletal part;cytoplasmic part;intracellular organelle part;cell part;keratin filament	GO:0005198;GO:0005200;GO:0005488;GO:0005515	structural molecule activity;structural constituent of cytoskeleton;binding;protein binding	GO:0001775;GO:0006928;GO:0008283;GO:0009987;GO:0016477;GO:0031424;GO:0032502;GO:0032980;GO:0043616;GO:0048870;GO:0051546	cell activation;cell motion;cell proliferation;cellular process;cell migration;keratinization;developmental process;keratinocyte activation;keratinocyte proliferation;cell motility;keratinocyte migration			hsa:3849;mmu:406220			K07605	12;15	-	51324610	IPR016044;IPR001664;IPR018039;IPR003054;IPR018159	F;IF;Intermediate_filament_CS;Keratin_II;Spectrin/alpha-actinin	PR01276	TYPE2KERATIN	PS00226	IF	SM00150	SPEC		26	6	6	7	3	3	3	2	2	2	1	5	1	2	1	1	10.2	5.9	4.2	65.865	645	1	2	2.90E-23	0.032353	0.026416	6.25E-43	6.25E-43		1	1	0.032353	0.026416	3.62E-44	3.62E-44		1	1						0	1	644070	644070	0	548760	548760	0	95312	95312	0		+
3	63;529;2568;2620;2715;3215;3322			IPI00220327;CON_00220327;CON_IPI00748057;IPI00748057	7;7;1;1	12;12;0;0	6;6;0;0	FALSE	"Keratin, type II cytoskeletal 1;Cytokeratin-1;Keratin-1;67 kDa cytokeratin;Hair alpha protein"	KRT1;KRTA	"Keratin, type II cytoskeletal 1;>IPI:CON_00220327.3|SWISS-PROT:P04264|ENSEMBL:ENSP00000252244|REFSEQ:NP_006112|H-INV:HIT000261150|VEGA:OTTHUMP00000167602 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1"	P04264;B2RA01	K2C1_HUMAN	ENSG00000167768	OTTHUMP00000167602;OTTHUMP00000167602	NP_006112;NP_006112	P04264;P02768;P01876;P01871;P01857;P02647;Q00987;P00533;P12830;P25054;Q15759;Q92844		PF00038	Filament	Intermediate filament protein		"Cyclic ichthyosis with epidermolytic hyperkeratosis, 607602 (3)"	GO:0005886;GO:0016020;GO:0044464	plasma membrane;membrane;cell part	GO:0004871;GO:0004872;GO:0005198;GO:0005200;GO:0005488;GO:0005515;GO:0005529;GO:0030246;GO:0060089	signal transducer activity;receptor activity;structural molecule activity;structural constituent of cytoskeleton;binding;protein binding;sugar binding;carbohydrate binding;molecular transducer activity	GO:0001867;GO:0002252;GO:0002253;GO:0002376;GO:0002541;GO:0002682;GO:0002684;GO:0006950;GO:0006952;GO:0006955;GO:0006956;GO:0006959;GO:0006979;GO:0008152;GO:0008544;GO:0009888;GO:0016485;GO:0019538;GO:0022603;GO:0030193;GO:0030195;GO:0032101;GO:0032502;GO:0042221;GO:0042730;GO:0043170;GO:0043283;GO:0044238;GO:0045087;GO:0045765;GO:0048518;GO:0048519;GO:0048583;GO:0048584;GO:0048856;GO:0050776;GO:0050778;GO:0050789;GO:0050793;GO:0050818;GO:0050819;GO:0050896;GO:0051239;GO:0051241;GO:0051604;GO:0051605;GO:0065007;GO:0080134	"complement activation, lectin pathway;immune effector process;activation of immune response;immune system process;activation of plasma proteins involved in acute inflammatory response;regulation of immune system process;positive regulation of immune system process;response to stress;defense response;immune response;complement activation;humoral immune response;response to oxidative stress;metabolic process;epidermis development;tissue development;protein processing;protein metabolic process;regulation of anatomical structure morphogenesis;regulation of blood coagulation;negative regulation of blood coagulation;regulation of response to external stimulus;developmental process;response to chemical stimulus;fibrinolysis;macromolecule metabolic process;biopolymer metabolic process;primary metabolic process;innate immune response;regulation of angiogenesis;positive regulation of biological process;negative regulation of biological process;regulation of response to stimulus;positive regulation of response to stimulus;anatomical structure development;regulation of immune response;positive regulation of immune response;regulation of biological process;regulation of developmental process;regulation of coagulation;negative regulation of coagulation;response to stimulus;regulation of multicellular organismal process;negative regulation of multicellular organismal process;protein maturation;protein maturation by peptide bond cleavage;biological regulation;regulation of response to stress"			hsa:3848			K07605	12	-	51354787					PS00226	IF				4	7	7	7	6	6	6	3	3	3	1	7	1	6	0	3	11.6	10.6	4.8	66.017	644	1	6	3.64E-25	23.168	22.625	4.03E-11	4.03E-11	244.66	4	1	0.27409	0.20113	3.20E-10	3.20E-10		1	1	32.697	31.429	4.63E-06	4.63E-06	39.587	3	1	4300800	3680900	619930	1853600	1292600	561000	2447200	2388300	58935		+
4	109;369;459;517;669;1312;2307;2455	1;2	16;313	IPI00894498;CON_00698900;IPI00021439;IPI00878173;IPI00794523;IPI00894365;IPI00893981;IPI00894523;IPI00893604;IPI00739539;IPI00479743;IPI00740545;IPI00738655;IPI00003269;IPI00555900;IPI00893501	8;8;8;5;4;4;4;4;4;2;2;2;2;1;1;1	2;2;2;0;0;2;2;2;2;0;0;0;0;0;0;0	2;2;2;0;0;2;2;2;2;0;0;0;0;0;0;0	FALSE	"Beta-actin;Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE;ACTB protein"	ACTB;ACTA1;RP5-1068B5.2-002;ACTG1	"Beta actin variant (Fragment);>IPI:CON_00698900.1|SWISS-PROT:P60712|TREMBL:Q2QJG3;Q862P9|ENSEMBL:ENSBTAP00000036954|REFSEQ:NP_776404 (Bos taurus) Actin, cytoplasmic 1;Actin, cytoplasmic 1;cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPH"	A1E282;Q53GK6;P60712;Q2QJG3;Q862P9;P60709;Q1KLZ0;Q53G76;Q53G99;Q562S0;Q96HG5;Q9UE89;B3KUD3;Q5T8M7;A4UCT3;A5GZ75;B3KWQ3;Q96DE1;Q96FU6;Q9UMN3	A1E282_HUMAN;ACTB_HUMAN;B3KUD3_HUMAN;A4UCT3_HUMAN;Q9UMN3_HUMAN	ENSG00000075624;ENSG00000184009;ENSG00000143632	OTTHUMP00000200589;OTTHUMP00000024886;OTTHUMP00000037464;OTTHUMP00000181456;OTTHUMP00000200588;OTTHUMP00000200590;OTTHUMP00000200615;OTTHUMP00000200591	NP_776404;NP_001092	P60709;P68135;P32121;P49407;P42771;P10275;Q92574;Q00987;P51532;P63261;P60981;P23528;Q9Y281;P05067;Q07157;Q92993;P42025;P04083;P07355;P08133;P25705;P01730;P10809;O00571;P17844;Q13268;P24534;P55884;P06733;P04406;P63244;P04899;P62807;P31943;Q14103;P07900;P08238;P11142;Q13347;P60228;O15371;Q99613;Q9UBQ5;Q14240;Q14974;P06239;P42704;P19105;P60660;P08473;P06748;P19338;O60735;P35232;P62826;P62913;Q07020;P35268;P18124;P62424;P05388;P05386;P09651;P22626;P46783;P25398;P62277;P62269;P39019;P62847;P61247;P62701;P62081;P62241;P46781;P08865;Q08945;Q9NSD9;Q71U36;P07437;Q92973;P62988;P21796;P45880;Q9Y277;P08670;P67809;O95793;P84022;Q9QZB7	NUMAC complex (nucleosomal methylation activator complex);PBAF complex (Polybromo- and BAF containing complex);BAF complex;P2X7 receptor signalling complex;LARC complex (LCR-associated remodeling complex);Alpha-dystrobrevin-ZO-1-actin complex;p400-associated complex;TLE1 corepressor complex (MASH1 promoter-corepressor complex);CTGF/Hcs24-actin complex;cofilin-actin-CAP1 complex;Profilin 2 complex	PF00022	Actin	Actin	3BYH;3D2U		GO:0000267;GO:0005625;GO:0005829;GO:0005856;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044424;GO:0044444;GO:0044464;GO:0000123;GO:0032991;GO:0034708;GO:0035097;GO:0035267;GO:0043189;GO:0043234;GO:0044422;GO:0044428;GO:0044446;GO:0044451	cell fraction;soluble fraction;cytosol;cytoskeleton;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part;histone acetyltransferase complex;macromolecular complex;methyltransferase complex;histone methyltransferase complex;NuA4 histone acetyltransferase complex;H4/H2A histone acetyltransferase complex;protein complex;organelle part;nuclear part;intracellular organelle part;nucleoplasm part	GO:0000166;GO:0001882;GO:0001883;GO:0005488;GO:0005515;GO:0005524;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0005198;GO:0005200;GO:0019899;GO:0050998	nucleotide binding;nucleoside binding;purine nucleoside binding;binding;protein binding;ATP binding;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;structural molecule activity;structural constituent of cytoskeleton;enzyme binding;nitric-oxide synthase binding	GO:0010035;GO:0010038;GO:0042221;GO:0050896;GO:0051592;GO:0003008;GO:0006928;GO:0007600;GO:0007605;GO:0009987;GO:0032501;GO:0050877;GO:0050890;GO:0050954	response to inorganic substance;response to metal ion;response to chemical stimulus;response to stimulus;response to calcium ion;system process;cell motion;sensory perception;sensory perception of sound;cellular process;multicellular organismal process;neurological system process;cognition;sensory perception of mechanical stimulus			hsa:60	ko04810;ko04510;ko04520;ko04530;ko04670;ko05110	Regulation of actin cytoskeleton;Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Vibrio cholerae infection	K05692	7;1	-	5533313	IPR004000;IPR004001	Actin-like;Actin_CS	PR00190	ACTIN	PS00406;PS01132;PS00432	ACTINS_1;ACTINS_ACT_LIKE;ACTINS_2	SM00268	ACTIN		16	8	10	17	1	2	3	1	2	3	1	7	0	1	0	1	33.1	4.5	4.5	41.722	375		2	4.81E-101	0.59247	0.57866	0.013008	0.013008	10.337	2	0.35181						0	1	0.59247	0.57866	0.027715	0.027715	10.337	2	0.16662	5986900	2098900	3888000	0	0	0	5986900	2098900	3888000		+
5	2292			CON_00707101	1	2	2	FALSE			>IPI:CON_00707101.1|SWISS-PROT:P12763|TREMBL:Q9TRP4|ENSEMBL:ENSBTAP00000000673|REFSEQ:NP_776409 (Bos taurus) Alpha-2-HS-glycoprotein precursor	P12763;Q9TRP4				NP_776409																																1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	3.1	3.1	3.1	38.418	359		1	0.025139	4.6681	4.2332	0.0016051	0.0016051		1	1						0	1	4.6681	4.2332	0.040647	0.040647		1	1	89657	89657	0	0	0	0	89657	89657	0		+
6	588;871;958;1004;1048;1655;2603;2991			CON_GFP	8	16	16	FALSE			>IPI:CON_GFP|SWISS-PROT:Q9U6Y5|Green fluorescent protein (GFP-Cter-HisTag)	Q9U6Y5																																				1	8	8	8	8	8	8	8	8	8	0	8	0	8	0	8	45.4	45.4	45.4	28.106	249		10	9.01E-14	45.147	49.629	1.62E-16	1.62E-16	194.66	7	0.17504						0	1	45.147	49.629	2.25E-07	2.25E-07	194.66	7	0.17504	11824000	11812000	11824	0	0	0	11824000	11812000	11824		+
7	863;1111;1741;1863;1918;3214;3299;3322			CON_IPI00554648;IPI00554648;CON_IPI00787323;IPI00787323;CON_IPI00017870;IPI00017870;IPI00792642;IPI00791912;CON_IPI00008359;IPI00008359;CON_IPI00290857;IPI00290857;CON_00697851;CON_00009867;IPI00009867;CON_00139301;IPI00796776;CON_00300725;IPI00300725;CON_00293665;CON_00299145;IPI00293665;IPI00299145;CON_00131368;CON_IPI00005859;IPI00005859;CON_00221797;CON_IPI00241841;IPI00241841;CON_00124499;IPI00879936;IPI00791341;IPI00300052;CON_130456;CON_105456;CON_00420312;CON_IPI00166205;IPI00166205;CON_00166205;IPI00477227;IPI00847342;CON_IPI00306959;IPI00306959;CON_IPI00847342;CON_IPI00406377;IPI00886833;IPI00886921;IPI00888053;IPI00793917;IPI00793202;IPI00887509;IPI00217437;CON_106456;IPI00032541;CON_103456;IPI00760863;IPI00889599;IPI00297795;CON_104456;CON_120456;IPI00182655;CON_107456;IPI00871418;CON_00124800;IPI00383815;IPI00025363;IPI00443478;CON_IPI00215804;IPI00795725	8;8;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	14;14;8;8;8;8;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2	10;10;6;6;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2	FALSE	"Keratin, type II cytoskeletal 8;Cytokeratin-8;Keratin-8;Keratin-8-like protein 1."	KRT8;CYK8;KRT8P11;RP11-13B9.3-001	">IPI:CON_IPI00554648.3|SWISS-PROT:P05787|TREMBL:A8K4H3;B0AZN5;Q7L4M3;Q969I0|ENSEMBL:ENSP00000293308|REFSEQ:NP_002264|H-INV:HIT000284467|VEGA:OTTHUMP00000167772 Tax_Id=9606 Gene_Symbol=KRT8 Keratin, type II cytoskeletal 8;Keratin, type II cytoskeletal 8;>IP"	P05787;A8K4H3;B0AZN5;Q7L4M3;Q969I0;Q9H552	K2C8_HUMAN;Q9H552_HUMAN	ENSG00000170421	OTTHUMP00000167772;OTTHUMP00000167772;OTTHUMP00000021786;OTTHUMP00000021786;OTTHUMP00000167771;OTTHUMP00000167768	NP_002264;NP_002264	P05787;O75190;P05783;Q00987;P22607;P11532;Q07157;O75503;O95757;P62993		PF00038	Filament	Intermediate filament protein		"Cirrhosis, cryptogenic (3)"	GO:0005882;GO:0044422;GO:0044424;GO:0044430;GO:0044446;GO:0044464;GO:0045095	intermediate filament;organelle part;intracellular part;cytoskeletal part;intracellular organelle part;cell part;keratin filament	GO:0005198;GO:0005488;GO:0005515	structural molecule activity;binding;protein binding	GO:0006996;GO:0007010;GO:0009987;GO:0016043;GO:0044419;GO:0051704	organelle organization;cytoskeleton organization;cellular process;cellular component organization;interspecies interaction between organisms;multi-organism process	DIP:424N		hsa:3856			K07605	12	-	51577238	IPR016044;IPR001664;IPR018039;IPR003054	F;IF;Intermediate_filament_CS;Keratin_II	PR01276	TYPE2KERATIN	PS00226	IF				69	8	8	10	7	7	9	5	5	6	0	8	0	7	0	5	20.1	18.2	15.3	53.704	483		8	6.89E-16	2.1809	2.1899	0.060582	0.060582	15.253	7	0.58872						0	1	2.1809	2.1899	0.19524	0.19524	15.253	7	0.58872	5526800	3950100	1576700	0	0	0	5526800	3950100	1576700		+
8	2477;2670			CON_LysC	2	4	4	FALSE			>IPI:CON_LysC|SWISS-PROT:P15636|API_ACHLY Protease I precursor Lysyl endopeptidase Achromobacter lyticus.	P15636																																				1	2	2	2	2	2	2	2	2	2	0	2	0	2	0	2	10.3	10.3	10.3	68.124	653		2	3.06E-08	523.86	552.01	1.73E-40	1.73E-40	8.7768	2	1						0	1	523.86	552.01	6.19E-17	6.19E-17	8.7768	2	1	5100700	5037100	63604	0	0	0	5100700	5037100	63604		+
9	554;1350			IPI00000015	2	4	4	FALSE	"Splicing factor, arginine/serine-rich 4;Pre-mRNA-splicing factor SRP75;SRP001LB"	SFRS4;SRP75	"Splicing factor, arginine/serine-rich 4"	Q08170;A8K644;Q53F45;Q59EF5	SFRS4_HUMAN	ENSG00000116350	OTTHUMP00000003790	NP_005617	Q08170;P54257;Q13247;P61981;Q15287	Spliceosome;PGC-1-SRp40-SRp55-SRp75 complex	PF00076	RRM_1	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"			GO:0016604;GO:0016607;GO:0044422;GO:0044424;GO:0044428;GO:0044446;GO:0044451;GO:0044464	nuclear body;nuclear speck;organelle part;intracellular part;nuclear part;intracellular organelle part;nucleoplasm part;cell part	GO:0000166;GO:0003676;GO:0003723;GO:0003824;GO:0005488;GO:0031202	"nucleotide binding;nucleic acid binding;RNA binding;catalytic activity;binding;RNA splicing factor activity, transesterification mechanism"	GO:0000375;GO:0000377;GO:0000398;GO:0006139;GO:0006396;GO:0006397;GO:0008152;GO:0008380;GO:0009987;GO:0016070;GO:0016071;GO:0034960;GO:0043170;GO:0043283;GO:0044237;GO:0044238;GO:0044260	"RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;nuclear mRNA splicing, via spliceosome;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;RNA processing;mRNA processing;metabolic process;RNA splicing;cellular process;RNA metabolic process;mRNA metabolic process;cellular biopolymer metabolic process;macromolecule metabolic process;biopolymer metabolic process;cellular metabolic process;primary metabolic process;cellular macromolecule metabolic process"		REACT_1675;REACT_1788;REACT_71	hsa:6429				1	-	29346952	IPR012677;IPR000504	a_b_plait_nuc_bd;RRM_RNP1			PS50102	RRM	SM00360	RRM		1	2	2	3	2	2	3	2	2	3	1	2	1	2	1	2	4.7	4.7	4.7	56.678	494	1	2	4.71E-10	1.9412	2.0081	0.085931	0.085931	52.417	3	1	1.356	0.88917	0.29626	0.29626		1	1	2.1841	2.1798	0.19695	0.19695	11.604	2	1	10385000	4753900	5631000	8214400	3316800	4897600	2170500	1437100	733390		
