test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000001	XLOC_000001	uc001acl.1	chr1:995116-1001833	WildType	KnockDown	NOTEST	405.873	1867.04	2.20165	0	1	1	no
TCONS_00000002	XLOC_000002	uc001acv.3	chr1:1072396-1079434	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000003	XLOC_000003	uc001acw.2	chr1:1102483-1102578	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000004	XLOC_000004	uc010nye.1	chr1:1103242-1103332	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000005	XLOC_000005	uc010nyf.1	chr1:1104384-1104467	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000006	XLOC_000006	uc010nyg.1	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000007	XLOC_000006	uc001acy.2	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000008	XLOC_000006	uc010nyg.1	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000009	XLOC_000006	uc001acz.2	chr1:1108435-1133313	WildType	KnockDown	LOWDATA	0	0	0	0	1	1	no
TCONS_00000010	XLOC_000007	uc001adk.3	chr1:1167628-1170420	WildType	KnockDown	OK	13199.1	16848.8	0.352203	2.7407	5e-05	0.00035	yes
TCONS_00000011	XLOC_000008	uc001adt.1	chr1:1215815-1227409	WildType	KnockDown	NOTEST	0	0.0125828	inf	0	1	1	no
TCONS_00000012	XLOC_000008	uc001adu.1	chr1:1215815-1227409	WildType	KnockDown	NOTEST	0	287.806	inf	0	1	1	no
TCONS_00000013	XLOC_000008	uc001adt.1	chr1:1215815-1227409	WildType	KnockDown	NOTEST	493.043	182.498	-1.43383	0	1	1	no
TCONS_00000014	XLOC_000008	uc001adv.2	chr1:1215815-1227409	WildType	KnockDown	NOTEST	0.167481	0.00699027	-4.5825	0	1	1	no
TCONS_00000015	XLOC_000008	uc001adw.2	chr1:1215815-1227409	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000016	XLOC_000008	uc001adx.2	chr1:1215815-1227409	WildType	KnockDown	NOTEST	3.404	3.79518	0.156936	0	1	1	no
TCONS_00000017	XLOC_000009	uc001aed.3	chr1:1227763-1260067	WildType	KnockDown	NOTEST	70.3694	0	-inf	0	1	1	no
TCONS_00000018	XLOC_000009	uc001aed.3	chr1:1227763-1260067	WildType	KnockDown	OK	7686.75	8944.65	0.218651	0.346526	0.59465	0.705658	no
TCONS_00000019	XLOC_000009	uc010nyi.2	chr1:1227763-1260067	WildType	KnockDown	OK	4166.34	2427	-0.779605	-0.491489	0.54785	0.705658	no
TCONS_00000020	XLOC_000009	uc009vjx.3	chr1:1227763-1260067	WildType	KnockDown	NOTEST	204.523	134.487	-0.604795	0	1	1	no
TCONS_00000021	XLOC_000010	uc001aeo.3	chr1:1260142-1264305	WildType	KnockDown	OK	5310.89	4131.21	-0.362391	-1.03854	0.0744	0.217	no
TCONS_00000022	XLOC_000010	uc001aeo.3	chr1:1260142-1264305	WildType	KnockDown	OK	2527.2	582.531	-2.11713	-1.41946	0.08545	0.230058	no
TCONS_00000023	XLOC_000011	uc010nyk.2	chr1:1266725-1269844	WildType	KnockDown	NOTEST	52.3431	0	-inf	0	1	1	no
TCONS_00000024	XLOC_000012	uc001afm.3	chr1:1334909-1342693	WildType	KnockDown	OK	50.5548	2721.34	5.75032	1.88984	0.22215	0.428575	no
TCONS_00000025	XLOC_000012	uc009vkd.3	chr1:1334909-1342693	WildType	KnockDown	OK	4238.48	1566.57	-1.43594	-0.82529	0.24235	0.428575	no
TCONS_00000026	XLOC_000013	uc010nyp.2	chr1:1361507-1363167	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000027	XLOC_000014	uc001afr.3	chr1:1370902-1378262	WildType	KnockDown	NOTEST	6.0256	0.0154176	-8.61038	0	1	1	no
TCONS_00000028	XLOC_000014	uc001afs.3	chr1:1370902-1378262	WildType	KnockDown	NOTEST	946.948	816.314	-0.214162	0	1	1	no
TCONS_00000029	XLOC_000015	uc001aft.2	chr1:1385068-1405538	WildType	KnockDown	NOTEST	17.3676	14.7361	-0.237039	0	1	1	no
TCONS_00000030	XLOC_000016	uc001afv.3	chr1:1407163-1444689	WildType	KnockDown	OK	8551.8	2773.6	-1.62447	-3.6287	5e-05	0.00035	yes
TCONS_00000031	XLOC_000016	uc001afw.2	chr1:1407163-1444689	WildType	KnockDown	NOTEST	152.347	205.976	0.435121	0	1	1	no
TCONS_00000032	XLOC_000016	uc001afx.3	chr1:1407163-1444689	WildType	KnockDown	OK	1264.73	1787.83	0.499382	0.521792	0.3886	0.54404	no
TCONS_00000033	XLOC_000016	uc001afv.3	chr1:1407163-1444689	WildType	KnockDown	NOTEST	0	247.186	inf	0	1	1	no
TCONS_00000034	XLOC_000016	uc021oeq.1	chr1:1407163-1444689	WildType	KnockDown	NOTEST	157.711	593.531	1.91204	0	1	1	no
TCONS_00000035	XLOC_000017	uc001afz.2	chr1:1446972-1470067	WildType	KnockDown	NOTEST	757.621	1088	0.522125	0	1	1	no
TCONS_00000036	XLOC_000017	uc001afz.2	chr1:1446972-1470067	WildType	KnockDown	NOTEST	0	0.0323472	inf	0	1	1	no
TCONS_00000037	XLOC_000017	uc001aga.2	chr1:1446972-1470067	WildType	KnockDown	OK	9173.09	7149.71	-0.359524	-0.977976	0.09945	0.23205	no
TCONS_00000038	XLOC_000017	uc001agb.2	chr1:1446972-1470067	WildType	KnockDown	OK	7087.17	1128.64	-2.65062	-2.96516	5e-05	0.00035	yes
TCONS_00000039	XLOC_000017	uc001agc.1	chr1:1446972-1470067	WildType	KnockDown	NOTEST	29.1323	0	-inf	0	1	1	no
TCONS_00000040	XLOC_000018	uc021oen.1	chr1:1007125-1009687	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000041	XLOC_000018	uc021oeo.1	chr1:1007125-1009687	WildType	KnockDown	LOWDATA	0	0	0	0	1	1	no
TCONS_00000042	XLOC_000019	uc010nyd.1	chr1:1017197-1051736	WildType	KnockDown	LOWDATA	4.04966	577.906	7.15689	0	1	1	no
TCONS_00000043	XLOC_000019	uc001acn.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000044	XLOC_000019	uc001act.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	306.196	332.969	0.120929	0	1	1	no
TCONS_00000045	XLOC_000019	uc001act.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000046	XLOC_000019	uc001act.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000047	XLOC_000019	uc001act.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000048	XLOC_000019	uc001acr.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000049	XLOC_000019	uc001acs.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0.0164972	461.302	14.7712	0	1	1	no
TCONS_00000050	XLOC_000019	uc001act.2	chr1:1017197-1051736	WildType	KnockDown	NOTEST	0.0113448	0	-inf	0	1	1	no
TCONS_00000051	XLOC_000019	uc001acu.2	chr1:1017197-1051736	WildType	KnockDown	OK	2727.26	1701.55	-0.680604	-1.23608	0.0363	0.1155	no
TCONS_00000052	XLOC_000020	uc031pkr.1	chr1:1103242-1103332	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000053	XLOC_000021	uc031pks.1	chr1:1104384-1104467	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000054	XLOC_000022	uc001acx.1	chr1:1108435-1133313	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000055	XLOC_000023	uc001ada.3	chr1:1138887-1142089	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000056	XLOC_000023	uc001adb.3	chr1:1138887-1142089	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000057	XLOC_000023	uc001adc.3	chr1:1138887-1142089	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000058	XLOC_000023	uc001add.3	chr1:1138887-1142089	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000059	XLOC_000024	uc001ade.3	chr1:1146705-1149548	WildType	KnockDown	NOTEST	0	0.00130681	inf	0	1	1	no
TCONS_00000060	XLOC_000024	uc001ade.3	chr1:1146705-1149548	WildType	KnockDown	NOTEST	0	60.0719	inf	0	1	1	no
TCONS_00000061	XLOC_000024	uc001adf.3	chr1:1146705-1149548	WildType	KnockDown	NOTEST	0	0	0	0	1	1	no
TCONS_00000062	XLOC_000025	uc001adg.3	chr1:1152287-1167447	WildType	KnockDown	NOTEST	1127.01	1243.27	0.141647	0	1	1	no
TCONS_00000063	XLOC_000025	uc001adh.4	chr1:1152287-1167447	WildType	KnockDown	OK	97431.4	112849	0.211932	2.93658	5e-05	0.00035	yes
TCONS_00000064	XLOC_000025	uc001adi.4	chr1:1152287-1167447	WildType	KnockDown	OK	5618.16	7466.79	0.41039	0.752222	0.1798	0.370176	no
TCONS_00000065	XLOC_000025	uc009vjw.3	chr1:1152287-1167447	WildType	KnockDown	NOTEST	0	140.49	inf	0	1	1	no
TCONS_00000066	XLOC_000025	uc001adj.1	chr1:1152287-1167447	WildType	KnockDown	LOWDATA	714.735	1318.93	0.883887	0	1	1	no
TCONS_00000067	XLOC_000025	uc001adi.4	chr1:1152287-1167447	WildType	KnockDown	NOTEST	460.593	1485.31	1.6892	0	1	1	no
TCONS_00000068	XLOC_000026	uc001adl.2	chr1:1177825-1182102	WildType	KnockDown	NOTEST	223.415	176.478	-0.340242	0	1	1	no
TCONS_00000069	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WildType	KnockDown	NOTEST	1482.99	462.329	-1.68152	0	1	1	no
TCONS_00000070	XLOC_000027	uc001adm.4	chr1:1189291-1209234	WildType	KnockDown	LOWDATA	467.434	329.413	-0.504867	0	1	1	no
TCONS_00000071	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WildType	KnockDown	NOTEST	8.94149	0.604842	-3.88588	0	1	1	no
TCONS_00000072	XLOC_000027	uc001ado.3	chr1:1189291-1209234	WildType	KnockDown	NOTEST	0	633.556	inf	0	1	1	no
TCONS_00000073	XLOC_000027	uc001adp.3	chr1:1189291-1209234	WildType	KnockDown	OK	20699.8	24991.8	0.27184	1.38294	0.0225	0.07875	no
TCONS_00000074	XLOC_000027	uc001adq.3	chr1:1189291-1209234	WildType	KnockDown	NOTEST	773.906	1339.72	0.791705	0	1	1	no
