bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
76	NM_001011874	chr1	-	3204562	3661579	3206102	3661429	3	3204562,3411782,3660632,	3207049,3411982,3661579,	0	Xkr4	cmpl	cmpl	1,2,0,
77	NM_001195662	chr1	-	4280926	4399322	4283061	4399268	4	4280926,4341990,4342282,4399250,	4283093,4342162,4342918,4399322,	0	Rp1	cmpl	cmpl	1,0,0,0,
618	NM_011283	chr1	-	4333587	4350395	4334680	4342906	4	4333587,4341990,4342282,4350280,	4340172,4342162,4342918,4350395,	0	Rp1	cmpl	cmpl	1,0,0,-1,
619	NM_001289464	chr1	-	4481008	4487435	4481796	4483487	4	4481008,4483180,4483852,4486371,	4482749,4483571,4483944,4487435,	0	Sox17	cmpl	cmpl	1,0,-1,-1,
619	NM_001289465	chr1	-	4481008	4487435	4481796	4485236	4	4481008,4483852,4485216,4486371,	4482749,4483944,4486023,4487435,	0	Sox17	cmpl	cmpl	1,2,0,-1,
619	NM_001289466	chr1	-	4481008	4487435	4481796	4485236	4	4481008,4483852,4485216,4486371,	4482749,4483944,4485279,4487435,	0	Sox17	cmpl	cmpl	1,2,0,-1,
619	NM_001289467	chr1	-	4481008	4487435	4481796	4482672	3	4481008,4483852,4486371,	4482749,4483944,4487435,	0	Sox17	cmpl	cmpl	0,-1,-1,
619	NM_011441	chr1	-	4481008	4487435	4481796	4483487	5	4481008,4483180,4483852,4485216,4486371,	4482749,4483547,4483944,4486023,4487435,	0	Sox17	cmpl	cmpl	1,0,-1,-1,-1,
621	NM_001177658	chr1	-	4763280	4775807	4766544	4775758	5	4763280,4767605,4772648,4774031,4775653,	4766882,4767729,4772814,4774186,4775807,	0	Mrpl15	cmpl	cmpl	1,0,2,0,0,
621	NM_025300	chr1	-	4763280	4775807	4764532	4775758	5	4763280,4767605,4772648,4774031,4775653,	4764597,4767729,4772814,4774186,4775807,	0	Mrpl15	cmpl	cmpl	1,0,2,0,0,
621	NR_033530	chr1	-	4763280	4775807	4775807	4775807	4	4763280,4767605,4772648,4775653,	4764597,4767729,4772814,4775807,	0	Mrpl15	unk	unk	-1,-1,-1,-1,
621	NM_008866	chr1	+	4797973	4836816	4797994	4835097	9	4797973,4798535,4818664,4820348,4822391,4827081,4829467,4831036,4835043,	4798063,4798567,4818730,4820396,4822462,4827155,4829569,4831213,4836816,	0	Lypla1	cmpl	cmpl	0,0,2,2,2,1,0,0,0,
